Title,Company,Experience,Salary,Location,Posted,Applications,Role,Employment_type,Education,Skills
Machine Learning / AI Engineer,Zenardy Technologies,3 - 7 years,Not Disclosed,"Hyderabad, Chennai", 1 day ago,90," Full Time, Permanent", Other," 
UG: Any Graduate
PG: Any Postgraduate","Pytorch, Artificial Intelligence, Machine Learning, Tensorflow, Aws Cloud, Azure Cloud, Scikit-Learn, Gcp Cloud, Python"
Hybrid Mode| Chatbot Co-pilot developer | Getronics Solutions| Chennai,Getronics,4 - 8 years,Not Disclosed,Chennai( Sholinganallur ), 1 day ago,59," Full Time, Permanent", Machine Learning Engineer," 
UG: Any Graduate","NLP, Artificial Intelligence, Chatbot, Copilot, Python, GCP, Azure Cloud, Cloud, AWS, Gen-AI"
Sr. NOC Engineer,Databricks,2 - 6 years,Not Disclosed,Bengaluru, 10 days ago,53," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","SAN, Root cause analysis, Automation, Linux, GCP, spark, Diversity and Inclusion, Data analytics"
Manager_Data Engineer - Data and Analytics,PwC Service Delivery Center,7 - 10 years,Not Disclosed,Bengaluru, 11 days ago, Less than 10," Full Time, Permanent", Business Intelligence & Analytics - Other," 
UG: Any Graduate
PG: Any Postgraduate","GCP, Data modeling, Database design, Analytical, Agile, Database administration, Data processing, Data quality, DBMS, Apache"
Cloud Engineer II - Public cloud - AWS/ Azure / GCP - JAVA/ Python,AMERICAN EXPRESS,2 - 3 years,Not Disclosed,Bengaluru, Few Hours Ago,489," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","Career development, continuous integration, GCP, Finance, Cloud, Javascript, Agile, Python"
"Software Engineering, Staff Engineer",Black Duck Software,3 - 6 years,Not Disclosed,Bengaluru, Few Hours Ago,59," Full Time, Permanent", Test Analyst," 
UG: Any Graduate
PG: Any Postgraduate","Automation, GCP, SAAS, MySQL, Shell scripting, Javascript, Performance testing, AWS, Testing, SQL"
Delivery Manager,Iitjobs Inc.,13 - 20 years,Not Disclosed,Pune, Few Hours Ago, Less than 10," Full Time, Temporary/Contractual", DevOps Consultant / Architect," 
UG: B.Tech/B.E. in Computers","Terraform, GCP, Ci/Cd, Devops, AWS"
Sr Data Engineering Manager,Amgen Inc,8 - 12 years,Not Disclosed,Hyderabad, Few Hours Ago, Less than 10," Full Time, Permanent", Data Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","Data engineering, Azure, DevOps, Power BI, GCP, Tableau Qlik, Databricks, ETL, AWS"
Sr Data Engineer,Target,3 - 6 years,Not Disclosed,Bengaluru, Few Hours Ago,82," Full Time, Permanent", Data Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","sql, java, spark, python, software development, hive, continuous integration, kubernetes, scala, ci/cd, data warehousing, data modeling, gcp, jenkins, hadoop, bigquery, etl, microsoft azure, data engineering, sql server, dataproc, data bricks, cassandra, kafka, olap, aws"
Azure Solution Architect,Pepsico,4 - 7 years,Not Disclosed,Hyderabad, Few Hours Ago,11," Full Time, Permanent", Solution Architect," 
UG: Any Graduate
PG: Any Postgraduate","architectural design, microsoft azure, cloud applications, paas, iaas, kubernetes, continuous integration, python, vmware, cloud technologies, microservices, docker, ansible, amazon ec2, java, git, gcp, devops, linux, jenkins, cloud infrastructure, aws, cloud computing"
Cloud Network Operations Engineer,NCR Corporation,3 - 6 years,Not Disclosed,Mumbai, Few Hours Ago,12," Full Time, Permanent", DevOps - Other," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","microsoft azure, ansible, devops, cloud operations, aws, kubernetes, vmware, docker, amazon ec2, system administration, git, gcp, linux administration, saas, linux, paas, jenkins, terraform, iaas, cloud computing"
Sr Python Developer (AI Applications),UKG,4 - 8 years,Not Disclosed,Pune, Few Hours Ago,19," Full Time, Permanent", Search Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","continuous integration, software development, ci/cd, java, aws, c#, python, github, c++, junit, software testing, automation testing, microsoft azure, javascript, git, automation tools, selenium, gcp, devops, test automation framework, design patterns, .net, agile, jira"
Sr Principal Software Engineer,UKG,8 - 12 years,Not Disclosed,Pune, Few Hours Ago, Less than 10," Full Time, Permanent", Technical Architect," 
UG: Any Graduate
PG: Any Postgraduate","python, cloud technologies, angular, java, design patterns, continuous integration, github, junit, software development, software testing, automation testing, ci/cd, microsoft azure, selenium, gcp, devops, telemetry, software engineering, code review, aws"
Information Security Engineer II,UKG,3 - 6 years,Not Disclosed,Noida, Few Hours Ago,41," Full Time, Permanent", System Security Engineer," 
UG: Any Graduate
PG: Any Postgraduate","python, golang, software project, ruby, java, kubernetes, cyber security, security automation, information security, microsoft azure, ssh, security framework, docker, sql, postgresql, gcp, linux, mysql, penetration testing, aws, infrastructure security"
Sr Principal Software Engineer,UKG,8 - 12 years,Not Disclosed,Pune, Few Hours Ago, Less than 10," Full Time, Permanent", Technical Architect," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","python, cloud technologies, angular, java, design patterns, continuous integration, github, junit, software development, software testing, automation testing, ci/cd, microsoft azure, selenium, gcp, devops, high level design, software engineering, code review, aws"
Principal Software Engineer,UKG,6 - 10 years,Not Disclosed,Pune, Few Hours Ago, Less than 10," Full Time, Permanent", Technical Architect," 
UG: Any Graduate
PG: Any Postgraduate","continuous integration, software development, ci/cd, cloud technologies, design patterns, c#, python, github, c++, junit, software testing, automation testing, microsoft azure, javascript, java, selenium, gcp, devops, .net, software engineering, code review, aws"
