Title,Company,Experience,Salary,Location,Posted,Applications,Role,Employment_type,Education,Skills
Gen AI Solution Architect,Wipro,10 - 15 years,Not Disclosed,Chennai, 6 days ago,37," Full Time, Permanent", Solution Architect," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","project management, python, machine learning, deep learning, agile methodology, proposal development, algorithms, gpm, nltk, microsoft azure, presales, sales, docker, tensorflow, spacy, gcp, pytorch, keras, scrum, agile, aws, rfp, digital transformation"
Security Delivery Analyst,Accenture,0 - 2 years,Not Disclosed,Bengaluru, 6 days ago,891," Full Time, Permanent", Security Administrator," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","networking, vulnerability management, gcp, server administration, aws, python, osi, cyber security, network security, arcsight, owasp, soc, ceh, information security, microsoft azure, siem, patching, vulnerability assessment, qradar, shell scripting"
Lead Administrator - L1,Wipro,4 - 9 years,Not Disclosed,Visakhapatnam, 6 days ago,79," Full Time, Permanent", System Administrator / Engineer," 
UG: B.Tech/B.E. in Any Specialization","VMware, Azure, vRA/vRO/ARIA, Tanzu, NSX, DevOps, Linux, GCP, VCD, Ansible, VCF, CI/CD, vCenter, vSAN, AWS, ESXi"
Web Designer & Developer (Angular),Stupa Sports Analytics,3 - 8 years,Not Disclosed,Gurugram, 6 days ago,969," Full Time, Permanent", Front End Developer," 
UG: B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","CSS, HTML, React, Vue.js, RESTful APIs, Azure, Google Cloud Platform, Angular CLI, Angular, CSS3, TypeScript, HTML5, JavaScript, Angular Material, AWS"
Senior Technology Architect - Java,Wipro,10 - 20 years,Not Disclosed,Pune, 6 days ago,107," Full Time, Permanent", Technical Architect," 
UG: Any Graduate
PG: MS/M.Sc(Science) in Any Specialization","Java, oracle, team management, system design, presentation skills, microsoft azure, java technologies, cloud platforms, presales, microservices, spring boot, react.js, angular, ui, gcp, system architecture, design patterns, software engineering, devsecops, aws"
Cyber Security Architect,Wipro,3 - 8 years,Not Disclosed,Kochi, 6 days ago,160," Full Time, Permanent", Cyber Security," 
UG: Any Graduate
PG: Any Postgraduate","smtp, dns, information security, security controls, http, it security, rsa, sentinel, network security, cyber security, arcsight, email security, microsoft azure, siem, nist csf, alienvault, wireshark, qradar, gcp, splunk, cloud infrastructure, aws"
Technical Architect / Manager / Lead - DBMS,Benovymed Healthcare,7 - 10 years,Not Disclosed,Agra, 6 days ago,20," Full Time, Permanent", Technical Lead," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","AWS, database management, Azure, data engineering, Google Cloud"
Technical Architect / Manager / Lead - DBMS,Benovymed Healthcare,7 - 10 years,Not Disclosed,Surat, 6 days ago, Less than 10," Full Time, Permanent", Technical Lead," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","AWS, database management, Azure, data engineering, Google Cloud"
GCP Data Engineer,Leading Client,3 - 8 years,Not Disclosed,Mumbai, 6 days ago,403," Full Time, Permanent", Data Engineer," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","data engineering, python, data science, vertex ai, gcp, google cloud platform, GCP Data Engineer, bigquery, data visualization tools, sql server"
Golang Developer,Appscrip,1 - 2 years,Not Disclosed,Surat, 6 days ago,110," Full Time, Permanent", Blockchain Quality Assurance Engineer," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","Golang, Azure, GCP, PostgreSQL, MySQL, Go, MongoDB, API, AWS"
Ansible Engineer / DevOps Automation Engineer,QCS Dc Labs,1 - 6 years,Not Disclosed,Bengaluru, 6 days ago,963," Full Time, Permanent", Site Reliability Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","Ansible, Azure, Terraform, GCP, infrastructure monitoring, DevOps Automation Engineer, AWS"
Senior Computational Scientist,Simreka,5 - 10 years,Not Disclosed,Bengaluru, 6 days ago,44," Full Time, Permanent", Data Scientist," 
UG: Any Graduate
PG: Any Postgraduate","Azure, GCP, AWS, Tensorflow, Pytorch, Matplotlib, Visualization technologies, NoSQL, Pandas, Scikit Learn, Python"
Site Reliability Engineer Specialist,Accenture,3 - 6 years,Not Disclosed,"Kochi, Coimbatore, Thiruvananthapuram", 6 days ago,47," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","Python, Unix, Java, Azure, Linux, GCP, Go, AWS"
Performance Testing Specialist,Cybage,4 - 9 years,Not Disclosed,Pune, 6 days ago,380," Full Time, Permanent", Test Analyst," 
UG: Any Graduate
PG: Any Postgraduate","Performance Testing, Java, JavaScript, Shell scripting, AWS Coud Watch, Groovy, Google Cloud Monitoring, Python"
Qlik sense Developer,Leading Client,3 - 8 years,Not Disclosed,Pune, 6 days ago,217," Full Time, Permanent", Database Analyst," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","Qlik sense, Qlik Sense development, Azure, Excel, data modeling, GCP, APIs, cloud platforms, AWS, SQL, Qlik scripting"
Engineer - Target India,Target,2 - 4 years,Not Disclosed,Bengaluru, 6 days ago,779," Full Time, Permanent", Data warehouse Architect / Consultant," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","java, spark, python, software development, aws, hive, continuous integration, kubernetes, scala, ci/cd, data warehousing, emr, sql, data modeling, postgresql, gcp, jenkins, hadoop, bigquery, etl, microsoft azure, sql server, dataproc, data bricks, cassandra, kafka"
Lead Engineer - Backend,Target,3 - 5 years,Not Disclosed,Bengaluru, 6 days ago,217," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate, LLM in Law","microservices, api, python, software development, machine learning, kubernetes, ci/cd, kinesis, docker, elastic search, java, git, postgresql, spark, gcp, devops, jenkins, hadoop, pubsub, rest, spring boot, cassandra, kafka, cloud infrastructure, flask, aws, data flow"
Architect- AI Ops Specialist - Cloud,Pepsico,4 - 7 years,Not Disclosed,Hyderabad, 6 days ago,67," Full Time, Permanent", Solution Architect," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","aiml, cloud technologies, artificial intelligence, it operations, ml, project management, dynatrace, microsoft azure, cloud platforms, mentoring, tensorflow, solution design, iam, gcp, cloud operations, pytorch, splunk, cloud infrastructure, aws, cloud computing"
DevOps Engineer II,NCR Corporation,3 - 6 years,Not Disclosed,Gurugram, 6 days ago,424," Full Time, Permanent", DevOps Engineer," 
UG: Any Graduate
PG: Any Postgraduate","application system, sql, database management, aws, scripting languages, kubernetes, continuous integration, python, confluence, ci/cd, microsoft azure, aws cloudformation, rabbitmq, javascript, docker, ansible, gcp, grafana, devops, powershell, terraform, bash, jira"
Cloud Solution Architect - IAC Terraform,Tetrahed,15 - 18 years,Not Disclosed,Noida, 6 days ago,45," Full Time, Permanent", Solution Architect," 
UG: B.Sc in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","IAC Terraform, Java, Azure, CloudFormation, Google Cloud Platform, Spring Boot, Cloud Infrastructure, AWS, Solution Architect, Kubernetes"
Alteryx Consultant,Infosys,3 - 5 years,Not Disclosed,Bengaluru, 6 days ago,92," Full Time, Permanent", Data warehouse Architect / Consultant," 
UG: B.Tech/B.E. in Production/Industrial
PG: Any Postgraduate","sql, sdlc process, macros, client servicing, agile, data warehousing, plsql, git, data loader, java, unix shell scripting, spark, linux, hadoop, etl, python, data analytics, oracle, version control, relational databases, elt, alteryx, tdd, troubleshooting, aws, sdlc, unix"
Immediate Job Openings on Tableau admin For contract To Hire Position,Leading Client,3 - 7 years,Not Disclosed,Hyderabad, 6 days ago,313," Full Time, Permanent", Database Analyst," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","tableau administration, power bi, sql, tableau, athena, python, data analysis, data analytics, oracle, data warehousing, sap bo, business intelligence, dashboards, sql server, alteryx, qlikview, business objects, mysql, data visualization, etl, aws"
Cloud Architect Jobs in Bangalore,Leading Client,8 - 12 years,Not Disclosed,Hyderabad, 6 days ago,75," Full Time, Permanent", Solution Architect," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","gcp, microsoft azure, cloud platforms, cloud architecture, aws, kubernetes, docker, ansible, microservices, iot, git, solution design, devops, linux, paas, jenkins, mysql, cloud computing, big data, python, infrastructure design, vmware, presales, saas, terraform"
OpenStack Automation Jobs For PAN INDIA,Leading Client,4 - 9 years,Not Disclosed,Hyderabad, 6 days ago,80," Full Time, Permanent", Blockchain Quality Assurance Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","python, ansible, linux, openstack, api, kubernetes, continuous integration, maven, microsoft azure, learnability, cloud platform, dashboards, infrastructure management, ansible tower, docker, git, java, gcp, devops, jenkins, cloud infrastructure, pan, aws"
Immediate Job Openings on Data Scientist GenAI Developer,Leading Client,3 - 7 years,Not Disclosed,Hyderabad, 6 days ago,457," Full Time, Permanent", Full Stack Data Scientist," 
UG: Any Graduate
PG: Any Postgraduate","python, machine learning, sql, model development, api, matlab, simulink, risk management, data analytics, data analysis, sas, credit risk, lgd, model validation, r, tableau, data science, predictive modeling, statistical modeling, logistic regression, statistics, ccar"
Graduate Engineer,Leading Client,2 - 6 years,Not Disclosed,Hyderabad, 6 days ago,377," Full Time, Permanent", Search Engineer," 
UG: Any Graduate
PG: Any Postgraduate","continuous integration, ci/cd, java, jenkins, python, kubernetes, docker, ansible, microservices, sql, git, gcp, devops, linux, shell scripting, mysql, rest, github, maven, microsoft azure, javascript, continuous delivery, spring boot, gitlab, terraform, agile, aws"
Looking Immediate For Openshift Migration,Leading Client,5 - 9 years,Not Disclosed,Hyderabad, 6 days ago,51," Full Time, Permanent", DevOps - Other," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","kubernetes, openshift, redhat linux, linux, jenkins, python, redhat openshift, system configuration, ci/cd, microsoft azure, root cause analysis, job description, microservices, docker, ansible, spring, spring boot, java, gcp, devops, j2ee, aws, middleware"
GCP Cloud data engineer,Leading Client,5 - 9 years,Not Disclosed,Hyderabad, 6 days ago,215," Full Time, Permanent", Data Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","sql, etl, python, data analysis, talend, hive, scala, data warehousing, docker, java, gcp, spark, aws cloud, bigquery, hadoop, big data, cloud computing, snowflake, airflow, microsoft azure, data engineering, dataproc, cloud data flow, kafka, sqoop, aws, data flow, gcp cloud"
AS400 Developer,Leading Client,4 - 7 years,Not Disclosed,Hyderabad, 6 days ago,58," Full Time, Permanent", Search Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","continuous integration, as400, clle, rpgle, rpg, catalog management, hsm, rexx, catalog, ci/cd, dbms, disaster recovery, sql, iseries, tso, ispf, sdsf, jcl, gcp, vsam, ca, agile framework, zos, dasd, mainframes, mq, microsoft azure, ibm db2, cobol, scrum, devsecops, agile, aws"
Technical Architect / Manager / Lead - DBMS,Benovymed Healthcare,7 - 10 years,Not Disclosed,Ludhiana, 6 days ago, Less than 10," Full Time, Permanent", Technical Lead," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","DBMS, database optimization, Azure, NoSQL, performance tuning, AWS, SQL, database architecture, Google Cloud"
Technical Architect / Manager / Lead - DBMS,Benovymed Healthcare,7 - 10 years,Not Disclosed,Jaipur, 6 days ago,25," Full Time, Permanent", Technical Lead," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","DBMS, database optimization, Azure, NoSQL, performance tuning, AWS, SQL, database architecture, Google Cloud"
Technical Architect / Manager / Lead - DBMS,Benovymed Healthcare,7 - 10 years,Not Disclosed,Coimbatore, 6 days ago,25," Full Time, Permanent", Technical Lead," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","DBMS, database optimization, Azure, NoSQL, performance tuning, AWS, SQL, database architecture, Google Cloud"
Banking Solution Architect - Senior Managing Consultant,IBM,6 - 11 years,Not Disclosed,Mumbai, 6 days ago,10," Full Time, Permanent", Solution Architect," 
UG: Any Graduate
PG: Any Postgraduate","architectural design, it consulting, gcp, cloud computing platform, aws, vmware, microsoft azure, erwin, data architecture, business intelligence, puppet, data modeling, dwbi, linux administration, windows administration, informatica, vcloud, unix"
Application Developer-Cloud FullStack,IBM,3 - 7 years,Not Disclosed,Hyderabad, 6 days ago,95," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","docker, java, gcp, spring boot, aws, kubernetes, continuous integration, networking, hibernate, ansible, sql, microservices, spring, git, devops, linux, jenkins, html, mysql, cloud computing, jira, rest, python, network security, maven, microsoft azure, javascript, angularjs"
Application Developer-Cloud FullStack,IBM,3 - 7 years,Not Disclosed,Hyderabad, 6 days ago,81," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","docker, java, gcp, spring boot, aws, kubernetes, ansible, microservices, spring, git, devops, paas, linux, jenkins, cloud computing, rest, python, software testing, vmware, microsoft azure, infrastructure architecture, puppet, hybrid cloud, saas, private cloud, iaas"
Application Developer-Google Cloud Migration,IBM,2 - 6 years,Not Disclosed,Bengaluru, 6 days ago,88," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","python, dataproc, gcp, terraform, bigquery, cloud services, cloud migration, redhat linux, microsoft azure, cloud deployment, data engineering, cloud technologies, cloud platform, cloud native, java, hybrid cloud, linux, cloud operations, troubleshooting, agile, aws"
Application Developer-Cloud FullStack,IBM,3 - 7 years,Not Disclosed,Bengaluru, 6 days ago,122," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","docker, java, gcp, spring boot, aws, kubernetes, continuous integration, networking, hibernate, ansible, sql, microservices, spring, git, devops, linux, jenkins, html, mysql, cloud computing, jira, rest, python, network security, maven, microsoft azure, javascript, angularjs"
Application Developer-Open Source,IBM,2 - 6 years,Not Disclosed,Bengaluru, 6 days ago,107," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate","git repository, react.js, python, version control, angularjs, web services, ibm cloud, android, dbms, bootstrap, ios, jquery, sql, backbone.js, open source, git, postgresql, gcp, linux, data structures, mongodb, microsoft azure, ember.js, django, microsoft windows, aws"
Application Developer-Google Cloud FullStack,IBM,3 - 6 years,Not Disclosed,Bengaluru, 6 days ago,82," Full Time, Permanent", Database Administrator," 
UG: Any Graduate
PG: Any Postgraduate","sql, react.js, backbone.js, python, angularjs, metadata, css, android, dbms, bootstrap, ios, jquery, docker, java, postgresql, spark, gcp, linux, html, bigquery, hadoop, mongodb, pubsub, ember.js, cloud platform, javascript, system architecture, microsoft windows, aws"
Data Engineer-Data Platforms-Google,IBM,2 - 5 years,Not Disclosed,Gurugram, 6 days ago,104," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","elastic search, gcp, splunk, hadoop, big data, hive, python, data management, presentation skills, microsoft azure, machine learning, javascript, sql, docker, java, git, spark, linux, jenkins, html, mysql, aws"
Data Engineer-Data Platforms-Google,IBM,2 - 5 years,Not Disclosed,Bengaluru, 6 days ago,86," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","sql, java, html, python, javascript, hive, css, confluence, aem, data warehousing, apache sling, jquery, gen, git, gcp, spark, jenkins, bigquery, data transformation, hadoop, big data, etl, jira, cloud sql, maven, airflow, osgi, granite, agile, sqoop, aws"
Application Developer-Cloud FullStack,IBM,3 - 7 years,Not Disclosed,Hyderabad, 6 days ago,88," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","docker, java, gcp, spring boot, aws, kubernetes, ansible, microservices, spring, git, devops, paas, linux, jenkins, cloud computing, rest, python, software testing, vmware, microsoft azure, infrastructure architecture, puppet, hybrid cloud, saas, private cloud, iaas"
DATA Scientist-Advanced Analytics,IBM,3 - 7 years,Not Disclosed,Bengaluru, 6 days ago,96," Full Time, Permanent", Data Scientist," 
UG: Any Graduate
PG: Any Postgraduate","schema, information management, data architecture, warehouse, data governance, time series analysis, python, data analysis, datastage, predictive analytics, analytics data, machine learning, t-sql, sql, tableau, data science, olap, data transformation, etl, big data"
Application Developer-Open Source,IBM,2 - 6 years,Not Disclosed,Pune, 6 days ago,98," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate","git repository, react.js, python, version control, angularjs, web services, ibm cloud, android, dbms, bootstrap, ios, jquery, sql, backbone.js, open source, git, postgresql, gcp, linux, data structures, mongodb, microsoft azure, ember.js, django, microsoft windows, aws"
Cloud & AI Engineer,IBM,2 - 6 years,Not Disclosed,Bengaluru, 6 days ago,185," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","kubernetes, version control, openshift, git, linux administration, maven, ant, golang, system design, microsoft azure, ci/cd, backend development, application development, docker, ansible, tensorflow, gcp, devops, linux, jenkins, pytorch, terraform, shell scripting, aws"
Application Developer-Open Source,IBM,2 - 6 years,Not Disclosed,Pune, 6 days ago,100," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate","git repository, react.js, python, version control, angularjs, web services, ibm cloud, android, dbms, bootstrap, ios, jquery, sql, backbone.js, open source, git, postgresql, gcp, linux, data structures, mongodb, microsoft azure, ember.js, django, microsoft windows, aws"
Application Developer-Cloud FullStack,IBM,3 - 7 years,Not Disclosed,Hyderabad, 6 days ago,100," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","docker, java, gcp, spring boot, aws, kubernetes, continuous integration, networking, hibernate, ansible, sql, microservices, spring, git, devops, linux, jenkins, html, mysql, cloud computing, jira, rest, python, network security, maven, microsoft azure, javascript, angularjs"
Data Scientist,IBM,3 - 6 years,Not Disclosed,Bengaluru, 6 days ago,179," Full Time, Permanent", Full Stack Data Scientist," 
UG: Any Graduate
PG: Any Postgraduate","python, sql, data science, database queries, sql programming, data analysis, data analytics, business analytics, relational databases, sql server, pandas, database management, data extraction, git, java, troubleshooting, html, big data, cloud computing, finance"
Data Engineer-Data Platforms,IBM,2 - 5 years,Not Disclosed,Hyderabad, 6 days ago,102," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","pyspark, spark, gcp, python, aws, hive, scala, apache pig, sql, docker, java, linux, mysql, hadoop, big data, etl, hbase, natural language processing, oozie, microsoft azure, machine learning, mapreduce, kafka, sqoop, unix"
Technical Architect / Manager / Lead - DBMS,Benovymed Healthcare,7 - 10 years,Not Disclosed,Vadodara, 6 days ago,17," Full Time, Permanent", Technical Lead," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","DBMS, Azure, NoSQL, AWS, SQL, Google Cloud"
Technical Architect / Manager / Lead - DBMS,Benovymed Healthcare,7 - 10 years,Not Disclosed,Faridabad, 6 days ago,54," Full Time, Permanent", Technical Lead," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","DBMS, Azure, NoSQL, AWS, SQL, Google Cloud"
Mgr. Software Engineering,UKG,8 - 13 years,Not Disclosed,Noida, 6 days ago,105," Full Time, Permanent", Engineering Manager," 
UG: Any Graduate
PG: Any Postgraduate","Python, C#, Java, C++, Azure, DevOps, C, software development, GCP, JavaScript, .NET, AWS"
Build Engineer,Ebix,2 - 7 years,Not Disclosed,Noida, 6 days ago,164," Full Time, Permanent", Search Engineer," 
UG: B.Tech/B.E. in Production/Industrial
PG: Any Postgraduate","build and release engineering, SSRS Configuration, Jenkins, Azure, Powershell, CI/CD, Gitlab, AWS, IIS Hosting, Google Cloud"
Specialist IS Engineer - Veeva Vault RIM,Amgen Inc,1 - 5 years,Not Disclosed,Hyderabad, 6 days ago,33," Full Time, Permanent", Search Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","rapid prototyping, presentation skills, software development methodologies, troubleshooting, information systems, continuous integration, kubernetes, python, ci/cd, microsoft azure, networking products, docker, computer science, gcp, devops, jenkins, agile, aws"
Technical Architect / Manager / Lead - DBMS,Benovymed Healthcare,7 - 10 years,Not Disclosed,Varanasi, 6 days ago, Less than 10," Full Time, Permanent", Technical Lead," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","technical architecture, Azure, NoSQL, DBMS, AWS, SQL, Google Cloud"
Site Reliability Engineer Specialist,Accenture,5 - 8 years,Not Disclosed,"Kochi, Coimbatore, Thiruvananthapuram", 6 days ago,30," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: Any Postgraduate","Python, Java, Azure, Docker, GCP, Go, AWS, Kubernetes"
Data Scientist,Leading Client,4 - 8 years,Not Disclosed,Mumbai, 6 days ago,311," Full Time, Permanent", Data Scientist," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","Data Science, R, NLP, data analysis, EDA, GCP, SQL, Python"
Application Lead,Accenture,3 - 8 years,Not Disclosed,Gurugram, 6 days ago,82," Full Time, Permanent", Solution Architect," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","microservices, spring boot, react.js, java, full stack, continuous integration, css, ci/cd, microsoft azure, javascript, sql, application development, software development life cycle, angular, ibm db2, git, gcp, project delivery, .net, terraform, html, aws, mongodb"
"Engineer, Senior Staff- Java/Cloud",Qualcomm,5 - 10 years,Not Disclosed,Bengaluru, 6 days ago,77," Full Time, Permanent", Search Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","continuous integration, rdbms, dsa, object oriented programming, ci cd pipeline, kubernetes, python, c++, c, golang, ci/cd, microsoft azure, azure data factory, nosql, docker, java, spark, gcp, debugging, software engineering, db technologies, agile, aws, mongodb"
Lead Java Developer - OPD - SS,Pratiti Technologies,3 - 8 years,Not Disclosed,Pune, 6 days ago,495," Full Time, Permanent", Search Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","Java, Hibernate, Azure, NoSQL databases, GCP, RDBMS Databases, Spring Boot, AWS"
Supervisor - Snowflake Engineer,RSM US in India,5 - 8 years,Not Disclosed,Hyderabad, 6 days ago,59," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","Snowflake Engineering, Azure, Power BI, GCP, Agile development, Tableau, ETL, ELT, data engineering, AWS, SQL"
Engineering IT Software Solutions Manager,Qualcomm,9 - 14 years,Not Disclosed,Bengaluru, 6 days ago,114," Full Time, Permanent", Engineering Manager," 
UG: Any Graduate
PG: Any Postgraduate","continuous integration, version control, ci/cd, microsoft azure, aws, kubernetes, python, c++, software development, software testing, information technology, microservices, docker, rust, java, computer science, gcp, hpc, software engineering, code review"
Sr. Solutions Architect,Iguru Software,10 - 15 years,Not Disclosed,"Ahmedabad, A, iGuru, 380015, Shapath4", 6 days ago,60," Full Time, Permanent", Solution Architect," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","Kafka, SQL, RabbitMQ, NoSQL, AWS, Azure, PostgreSQL, Redis, DynamoDB, Prometheus, Grafana, DevOps, CI/CD pipelines, Docker, GCP, MySQL, Kubernetes"
Technical Architect / Manager / Lead - DBMS,Benovymed Healthcare,7 - 10 years,Not Disclosed,Nagpur, 6 days ago,11," Full Time, Permanent", Technical Lead," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","DBMS, database optimization, Azure, NoSQL, performance tuning, AWS, Google Cloud, SQL, database architecture"
"Engineer, Principal/Manager - Machine Learning, AI",Qualcomm,8 - 13 years,Not Disclosed,Bengaluru, 6 days ago,65," Full Time, Permanent", Engineering Manager," 
UG: B.Tech/B.E. in Production/Industrial
PG: Any Postgraduate","cuda, python, artificial intelligence, debugging, system engineering, jax, software development, neural networks, gps, machine learning, azure devops, deep learning, tensorflow, java, gcp, learning management, computer vision, pytorch, aws, onnx, opencv"
Sr Engineer/Sr. Lead - Generative AI,Qualcomm,3 - 5 years,Not Disclosed,Hyderabad, 6 days ago,62," Full Time, Permanent", Blockchain Quality Assurance Engineer," 
UG: B.Tech/B.E. in Production/Industrial
PG: LLM in Law, Any Postgraduate","python, c++, machine learning, java, software engineering, natural language processing, microsoft azure, artificial intelligence, microservices, reinforcement learning, deep learning, tensorflow, computer science, gcp, pytorch, agile, aws, ml"
Architect - Network Operations Specialist - Azure,Pepsico,5 - 10 years,Not Disclosed,Hyderabad, 6 days ago,105," Full Time, Permanent", Head - Network Operations," 
UG: Any Graduate
PG: Any Postgraduate","Azure, NAT, routing, ARM Templates, Terraform, Bicep, GCP, DNS, BGP, AWS, DHCP, SD-WAN"
Architect- AI Ops Specialist - Cloud,Pepsico,8 - 12 years,Not Disclosed,Hyderabad, 6 days ago,43," Full Time, Permanent", Solution Architect," 
UG: Any Graduate
PG: Any Postgraduate","Cloud, Azure, PyTorch, Dynatrace, Splunk, AWS, Moogsoft, Google Cloud, TensorFlow"
Architect - RI Automation,Pepsico,8 - 13 years,Not Disclosed,Hyderabad, 6 days ago,53," Full Time, Permanent", Automation Architect," 
UG: Any Graduate
PG: Any Postgraduate","RI Automation, Azure, GCP, Ansible, Cloud IaaS, design solutions, AWS, cloud automation architecture"
Integration Platform Architect,Pepsico,4 - 7 years,Not Disclosed,Hyderabad, 6 days ago,85," Full Time, Permanent", Technical Architect," 
UG: Any Graduate
PG: Any Postgraduate","Informatica, API Management, Azure, Apache, Troubleshooting, Architecture Design, Microservices, Cloud Integration, GCP, ETL, Talend, AWS, Stakeholder Management"
Architect - Enterprise Data Operations,Pepsico,4 - 7 years,Not Disclosed,Gurugram, 6 days ago,85," Full Time, Permanent", DevOps Consultant / Architect," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","Enterprise Data Operations, Azure CLI, ARM Templates, Azure, Infrastructure as Code, Azure Rest API, DevOps tool, Salt, Azure Policy, automation development, PCF, Terraform, GCP, Ansible, SCM, AWS, Azure DevOps, Kubernetes"
"Associate Manager, D&Ai Data Operations, Comm/Cons Program Sustain",Pepsico,5 - 10 years,Not Disclosed,Hyderabad, 6 days ago,80," Full Time, Permanent", Practice Manager / Head," 
UG: Any Graduate
PG: Any Postgraduate","Data Operations, Azure, data management, CloudOps, GCP, data governance, Microsoft Azure, master data management, AWS"
Lead/Senior Machine Learning Engineer,Cloudside Technologies,5 - 8 years,Not Disclosed,Coimbatore, 6 days ago,26," Full Time, Permanent", Data Platform Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","python, microsoft azure, tensorflow, gcp, aws, continuous integration, algorithms, data management, web services, scikit-learn, data processing, ci/cd, machine learning, prototype, pandas, deep learning, devops, computer vision, keras, object oriented programming, ml"
DevOps Engineer,Climbax Entertainment,2 - 7 years,Not Disclosed,Gurugram, 7 days ago,1957," Full Time, Permanent", DevOps Engineer," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","DevOps, Azure, python, maven, system troubleshooting, docker, ansible, Jenkins, git, Linux, GCP, CI/CD, terraform, AWS, application deployment, Kubernetes"
LLM Ops Engineer,Tetrahed,5 - 7 years,Not Disclosed,Hyderabad, 7 days ago,93," Full Time, Permanent", Site Reliability Engineer," 
UG: Any Graduate
PG: LLM in Any Specialization
Doctorate: Doctorate Not Required","Python, Azure, ELK stack, Prometheus, LLM, Grafana, Shell, Terraform, Docker, GCP, Ansible, AWS, Kubernetes"
